Symbol,Company_Name,LastSale,Sector,Industry,Market_Cap,Week52_High,Week52_Low,Dividend_Rate,Dividend_Yield,EPS,EPS_TTM,ROE,ROA,EBITDA,Revenue,Revenue_PS,Revenue_PE,Gross_Profit,profitMargin,Cash,Debt,Price_to_Sales,Price_To_Book
ABB,ABB Ltd,22.64,Consumer Durables,Electrical Products,47922322367,28.67,21.2155,0.805993,3.5853782,1.03,1.35,16.89,5.32,2139000000,18004000000,8,122476,5294000000,6.56,10275000000,15339000000,1.8289014,3.54
ABBV,AbbVie Inc.,94.38,Health Care,Major Pharmaceuticals,143568194497,125.86,85.24,3.84,4.0502057,3.29,6.76,463.41,9.86,4628000000,14734000000,10,491133,10838000000,20.18,19343000000,75163000000,5.9670596,39.31
ANF,Abercrombie & Fitch Company,19.95,Consumer Services,Clothing/Shoe/Accessory Stores,1320313615,29.69,11.615,0.8,4.0444894,0.09,0.13,3.33,1.7,74928000,859112000,13,22608,526627000,1.22,459293000,311992000,0.3672957,1.17
AWP,Aberdeen Global Premier Properties Fund of Beneficial Interest,5.77,nan,nan,497074275,6.98,5.7401,0.6,10.3092785,1.4,0,12.25,4.5,0,0,0,NaN,0,91.7,0,0,3.3062196,1.48
AOD,Aberdeen Total Dynamic Dividend Fund,8.58,nan,nan,916695240,10.03,8.46,0.69,8.098592,1.95,0,16.26,5.47,0,0,0,NaN,0,92.75,0,0,3.3524187,1.89
AKR,Acadia Realty Trust,27.29,Consumer Services,Real Estate Investment Trusts,2298379298,30.63,21.34,1.08,3.8297873,0.72,1.4100000000000001,3.13,1.21,42858000,62678000,1,531169,44189000,11.5,48255000,1673345000,14.605876,1.49
ADNT,Adient plc,34.1,Capital Goods,Auto Parts:O.E.M.,3213857287,86.265,33.56,1.1,3.1958163,10.97,6.699999999999999,0.36,0.11,136853124,5046759064,54,59374,242494132,-2,468181740,4202831466,0.204988,0.72
AVK,Advent Claymore Convertible Securities and Income Fund,15.24,nan,nan,522711861,16.5,14.62,1.4024,9.262879,2.55,0,27.42,6.24,0,0,0,NaN,0,76.96,0,0,7.154148,2.93
AEG,AEGON N.V.,6.52,Finance,Life Insurance,13267112784,7.48,5.5,0.3241,4.993837,1.37,0.45999999999999996,7.65,0.46,0,34350187532,17,1321161,0,4.75,0,0,0.40131396,0.49
MITT,AG Mortgage Investment Trust Inc.,17.32,nan,nan,494240955,19.95,16.31,2,11.422045,3.76,0,11.83,1.85,0,0,0,NaN,0,,0,0,,0.91
ADC,Agree Realty Corporation,51.69,Consumer Services,Real Estate Investment Trusts,1851008650,57.49,43.74,2.16,4.090909,2.1,2.82,6.75,3.96,24653000,30387000,1,949594,27307000,45.48,25510000,0,17.82313,2
AYR,Aircastle Limited,21.38,Technology,Diversified Commercial Services,1660670810,25.3,18.97,1.12,5.27307,1.87,2.8600000000000003,11.45,3.05,373259000,368813000,5,3322640,365010000,27.81,874571000,0,2.8257008,0.85
ALX,Alexander's Inc.,343.0,Consumer Services,Real Estate Investment Trusts,1766866976,436.799,332.975,18,5.203064,15.75,0,13.97,2.89,0,0,0,0,0,14.67,0,0,10.44691,5.72
